Metric,Value
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.141147
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,128
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.364923
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,1
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,1
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.7174
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.77406
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.0825979
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.0816979
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.0259758
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.0816979
design_powergrid__voltage__worst,0.0816979
design_powergrid__voltage__worst__net:VPWR,1.7174
design_powergrid__drop__worst,0.0825979
design_powergrid__drop__worst__net:VPWR,0.0825979
design_powergrid__voltage__worst__net:VGND,0.0816979
design_powergrid__drop__worst__net:VGND,0.0816979
ir__voltage__worst,1.7199999999999999733546474089962430298328399658203125
ir__drop__avg,0.025899999999999999411581796948667033575475215911865234375
ir__drop__worst,0.0826000000000000067501559897209517657756805419921875
design__xor_difference__count,5
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
